Ikan Bandeng,Ikan Tongkol,Ikan Kembung,Provinsi
36.903545,37.915817,46.218838,Aceh
36.903545,37.915817,46.218838,Sumatera Utara
35.45025,37.48115,43.666805,Sumatera Barat
40.377064,44.203686,51.766766,Riau
43.547897,38.08464,43.331528,Jambi
28.944956,33.57423,40.414116,Sumatera Selatan
28.983479,28.8413,38.44208,Bengkulu
45.95468,32.18489,44.791428,Lampung
30.029995,31.116491,36.51248,Kepulauan Bangka Belitung
37.252796,37.629875,54.141754,Kepulauan Riau
37.391758,24.753853,35.849358,DKI Jakarta
39.4533,35.860462,35.894215,Jawa Barat
37.417637,36.78099,42.934875,Jawa Tengah
33.133507,34.568398,33.550507,D.I Yogyakarta
38.827065,36.621967,39.989067,Jawa Timur
32.951393,33.084335,33.148663,Banten
35.80208,34.92878,39.307415,Bali
33.85368,35.799316,39.693096,Nusa Tenggara Barat
35.61427,33.51995,46.714638,Nusa Tenggara Timur
50.598175,37.334484,40.430294,Kalimantan Barat
32.62098,38.67551,42.56894,Kalimantan Tengah
31.282337,40.828934,45.362812,Kalimantan Selatan
30.733248,35.862133,41.776672,Kalimantan Timur
33.898117,38.15685,39.51031,Kalimantan Utara
31.293573,35.662323,35.486977,Sulawesi Utara
57.28744,36.55667,34.91839,Sulawesi Tengah
29.990139,34.23028,36.171627,Sulawesi Selatan
37.549553,42.821194,45.27808,Sulawesi Tenggara
33.680786,32.363106,39.38591,Gorontalo
31.118227,31.6077,32.044643,Sulawesi Barat
34.372547,33.9141,43.21239,Maluku
33.549366,36.498516,29.498241,Maluku Utara
53.484005,36.579838,41.560547,Papua Barat
37.868027,47.521225,46.50551,Papua
